00;000;PABL;Buckland, Buckland Airport;AK;United States;4;65-58-56N;161-09-07W;;;7;;
01;001;ENJA;Jan Mayen;;Norway;6;70-56N;008-40W;70-56N;008-40W;10;9;P
01;002;----;Grahuken;;Norway;6;79-47N;014-28E;;;;15;
01;003;----;Hornsund;;Norway;6;77-00N;015-30E;;;10;12;
01;004;ENAS;Ny-Alesund Ii;;Norway;6;78-55N;011-56E;78-55N;011-56E;8;8;
01;006;----;Edgeoya;;Norway;6;78-14N;022-47E;;;;14;
01;007;----;Ny Alesund;;Norway;6;78-55N;011-56E;;;;12;
01;008;ENSB;Svalbard Lufthavn;;Norway;6;78-15N;015-28E;;;2;29;P
01;009;----;Phippsoya;;Norway;6;80-41N;020-52E;;;4;;
01;010;ENAN;Andoya;;Norway;6;69-18N;016-09E;69-18N;016-09E;1;14;P
01;011;----;Kvitoya;;Norway;6;80-06N;031-24E;80-06N;031-24E;16;16;
01;015;----;Hekkingen Fyr;;Norway;6;69-36N;017-50E;;;14;;
01;016;----;Senja-Grasmyrskogen;;Norway;6;69-17N;017-46E;;;50;;
01;023;ENDU;Bardufoss;;Norway;6;69-04N;018-32E;;;7;79;P
01;025;ENTC;Tromso / Langnes;;Norway;6;69-41N;018-55E;;;1;10;P
01;026;----;Tromso;;Norway;6;69-39N;018-56E;;;103;114;
01;028;ENBJ;Bjornoya;;Norway;6;74-31N;019-01E;74-31N;019-01E;16;16;P
01;033;----;Torsvag Fyr;;Norway;6;70-15N;019-30E;;;21;24;
01;034;----;Fugloykalven Fyr;;Norway;6;70-19N;020-09E;;;37;38;
01;035;----;Oteren;;Norway;6;69-15N;019-53E;;;12;;
01;041;----;Nodreisa-Oyeng;;Norway;6;69-44N;021-01E;;;5;;
01;043;----;Loppa;;Norway;6;70-20N;021-28E;;;10;11;
01;045;----;Nordstraum I Kvaenangen;;Norway;6;69-50N;021-53E;;;6;;
01;046;ENSR;Sorkjosen;;Norway;6;69-47N;020-58E;;;0;6;
01;047;ENKA;Kautokeino;;Norway;6;69-00N;023-02E;;;305;308;
01;049;ENAT;Alta Lufthavn;;Norway;6;69-59N;023-22E;;;0;3;P
01;051;----;Suolovuopmi;;Norway;6;69-35N;023-32E;;;374;;
01;052;ENHF;Hammerfest;;Norway;6;70-40N;023-40E;;;8;81;
01;055;----;Fruholmen Fyr;;Norway;6;71-06N;024-00E;;;13;14;P
01;057;----;Cuovddatmohkki;;Norway;6;69-22N;024-26E;;;286;;
01;059;ENNA;Banak;;Norway;6;70-04N;024-59E;;;0;8;P
01;062;ENHO;Hopen;;Norway;6;76-30N;025-04E;;;6;10;P
01;065;----;Karasjok;;Norway;6;69-28N;025-30E;;;129;133;
01;066;----;Helnes Fyr;;Norway;6;71-04N;026-14E;;;33;;
01;068;ENHV;Honningsvag / Valan;;Norway;6;71-01N;025-59E;;;1;14;
01;074;ENMH;Mehamn;;Norway;6;71-02N;027-50E;;;1;13;
01;075;----;Rustefjelbma;;Norway;6;70-24N;028-12E;;;9;11;
01;078;----;Sletnes Fyr;;Norway;6;71-05N;028-14E;;;8;10;P
01;083;ENBV;Berlevag;;Norway;6;70-52N;029-02E;;;1;13;
01;088;ENVD;Vadso;;Norway;6;70-04N;029-51E;;;3;39;
01;089;ENKR;Kirkenes Lufthavn;;Norway;6;69-44N;029-54E;;;9;91;P
01;092;----;Makkaur Fyr;;Norway;6;70-42N;030-05E;;;9;;
01;097;ENSS;Svartnes;;Norway;6;70-21N;031-03E;;;12;;
01;098;----;Vardo;;Norway;6;70-22N;031-06E;;;14;15;P
01;102;----;Sklinna Fyr;;Norway;6;65-12N;011-00E;;;23;16;P
01;103;----;Leka;;Norway;6;65-06N;011-42E;;;47;;
01;106;----;Rost Ii;;Norway;6;67-30N;012-05E;;;10;11;P
01;107;ENRS;Rost Flyplass;;Norway;6;67-31N;012-06E;;;4;;
01;108;----;Vega-Vallsjo;;Norway;6;65-42N;011-51E;;;2;9;
01;110;----;Ytterholmen Fyr;;Norway;6;66-00N;011-41E;;;33;33;
01;112;ENBN;Bronnoysund / Bronnoy;;Norway;6;65-28N;012-13E;;;0;9;
01;115;----;Myken;;Norway;6;66-45N;012-29E;;;17;13;
01;116;ENST;Sandnessjoen / Stokka;;Norway;6;65-58N;012-28E;;;1;17;
01;121;----;Nord-Solvaer;;Norway;6;66-24N;012-37E;;;10;;
01;122;ENMS;Mosjoen Kjaerstad;;Norway;6;65-48N;013-08E;;;70;;
01;134;----;Majavatn Iii;;Norway;6;65-11N;013-25E;;;339;339;
01;137;----;Stott;;Norway;6;66-56N;013-27E;;;12;;
01;138;----;Tennholmen Fyr;;Norway;6;67-18N;013-30E;;;14;;
01;141;ENLK;Leknes;;Norway;6;68-09N;013-37E;;;2;26;
01;147;----;Susendal-Bjormo;;Norway;6;65-31N;014-01E;;;265;;
01;149;----;Rana-Basmoen;;Norway;6;66-20N;014-06E;;;40;42;
01;151;ENRA;Mo I Rana / Rossvoll;;Norway;6;66-22N;014-18E;;;7;70;
01;152;ENBO;Bodo Vi;;Norway;6;67-16N;014-22E;67-15N;014-24E;1;13;P
01;154;----;Litloy Fyr;;Norway;6;68-35N;014-18E;;;30;;
01;155;----;Bo I Vesteralen Ii;;Norway;6;68-38N;014-28E;;;12;13;
01;160;----;Skrova Fyr;;Norway;6;68-09N;014-39E;;;11;;
01;161;ENSH;Svolvaer / Helle;;Norway;6;68-15N;014-40E;;;0;9;
01;162;ENSK;Storkmarknes / Skagen;;Norway;6;68-35N;015-01E;;;0;3;
01;167;----;Sortland;;Norway;6;68-42N;015-25E;;;3;3;P
01;169;----;Saltdal;;Norway;6;66-51N;015-19E;;;81;;
01;172;----;Finnoy I Hamaroy;;Norway;6;68-00N;015-37E;;;53;;
01;183;ENEV;Evenes;;Norway;6;68-31N;016-41E;;;26;26;
01;193;----;Narvik / Framnes;;Norway;6;68-26N;017-24E;;;3;30;
01;194;ENNK;Narvik Iii;;Norway;6;68-28N;017-30E;;;17;23;
01;196;----;Tennevoll;;Norway;6;68-45N;017-49E;;;21;;
01;199;----;Sihcajavri;;Norway;6;68-45N;023-32E;;;382;;
01;203;----;Krakenes;;Norway;6;62-02N;004-59E;;;41;;
01;205;----;Svinoy Fyr;;Norway;6;62-20N;005-16E;;;38;41;P
01;209;ENOV;Orsta-Volda / Hovden;;Norway;6;62-11N;006-04E;;;7;74;
01;210;ENAL;Alesund / Vigra;;Norway;6;62-34N;006-07E;;;2;22;
01;212;----;Ona Ii;;Norway;6;62-52N;006-32E;;;13;15;
01;217;ENML;Molde / Aro;;Norway;6;62-45N;007-16E;;;0;3;
01;218;----;Tafjord;;Norway;6;62-14N;007-25E;;;15;17;
01;223;ENKB;Kristiansund / Kvernberget;;Norway;6;63-07N;007-50E;;;6;62;
01;224;----;Skalmen Fyr;;Norway;6;63-28N;007-45E;;;13;13;
01;227;----;Tingvoll-Hanem;;Norway;6;62-50N;008-18E;;;69;69;
01;228;----;Sula;;Norway;6;63-51N;008-28E;;;4;6;P
01;231;----;Lesjaskog;;Norway;6;62-14N;008-22E;;;621;;
01;232;----;Vinjeora Ii;;Norway;6;63-12N;009-00E;;;47;;
01;237;----;Fokstua Ii;;Norway;6;62-09N;009-17E;;;;974;
01;238;----;Fokstua Ii;;Norway;6;62-07N;009-17E;;;972;974;
01;240;----;Halten Fyr;;Norway;6;64-10N;009-25E;;;16;16;
01;241;ENOL;Orland Iii;;Norway;6;63-42N;009-36E;63-42N;009-36E;0;7;P
01;245;----;Oppdal-Bjorke;;Norway;6;62-36N;009-41E;;;630;;
01;252;----;Berkak-Lyngholt;;Norway;6;62-49N;010-01E;;;475;;
01;259;----;Buholmrasa Fyr;;Norway;6;64-24N;010-27E;;;21;18;
01;262;----;Nordoyan Fyr;;Norway;6;64-48N;010-33E;;;33;;
01;265;----;Tynset Ii;;Norway;6;62-16N;010-46E;;;;482;
01;271;ENVA;Trondheim / Vaernes;;Norway;6;63-28N;010-56E;;;1;17;P
01;274;----;Selbu-Stubbe;;Norway;6;63-12N;011-07E;;;242;;
01;277;----;Steinkjer;;Norway;6;64-01N;011-27E;;;80;;
01;278;----;Verdal-Reppe;;Norway;6;63-47N;011-40E;;;81;81;
01;280;----;Namdalseid;;Norway;6;64-15N;011-12E;;;86;87;
01;282;ENRM;Rorvik / Ryum;;Norway;6;64-50N;011-09E;;;4;;
01;288;----;Roros;;Norway;6;62-34N;011-23E;;;628;630;
01;289;ENRO;Roros Lufthavn;;Norway;6;62-35N;011-21E;;;62;626;
01;290;ENNM;Namsos Lufthavn;;Norway;6;64-28N;011-35E;;;0;2;
01;292;----;Maraker-Utsyn;;Norway;6;63-25N;011-45E;;;239;240;
01;298;----;Nordli-Holand;;Norway;6;64-27N;013-43E;;;433;;
01;304;----;Ytteroyane Fyr;;Norway;6;61-34N;004-41E;;;26;25;
